L. Kou and D. Labrie and P. Chylek, "Refractive indices of water and ice
in the 0.65�2.5�m spectral range," Appl. Opt., 32, 3531--3540, (1993).

lambda	 absorption
 (nm) 	   (1/cm)  
   9.5000000e+02   2.9762500e-01
   9.4700000e+02   2.4681600e-01
   9.4300000e+02   2.1055000e-01
   9.4000000e+02   1.8181100e-01
   9.3600000e+02   1.5573700e-01
   9.3300000e+02   1.3738200e-01
   9.2900000e+02   1.1944100e-01
   9.2600000e+02   1.0422200e-01
   9.2200000e+02   9.2680000e-02
   9.1900000e+02   8.4095000e-02
   9.1600000e+02   7.7922000e-02
   9.1200000e+02   7.3579000e-02
   9.0900000e+02   7.0366000e-02
   9.0600000e+02   6.7686000e-02
   9.0200000e+02   6.5618000e-02
   8.9900000e+02   6.3601000e-02
   8.9600000e+02   6.1850000e-02
   8.9300000e+02   6.0088000e-02
   8.9000000e+02   5.8314000e-02
   8.8700000e+02   5.6527000e-02
   8.8300000e+02   5.4649000e-02
   8.8000000e+02   5.2979000e-02
   8.7700000e+02   5.1154000e-02
   8.7400000e+02   4.9604000e-02
   8.7100000e+02   4.8332000e-02
   8.6800000e+02   4.7052000e-02
   8.6500000e+02   4.6052000e-02
   8.6200000e+02   4.5047000e-02
   8.5900000e+02   4.4326000e-02
   8.5600000e+02   4.3601000e-02
   8.5300000e+02   4.2723000e-02
   8.5000000e+02   4.1986000e-02
   8.4800000e+02   4.1493000e-02
   8.4500000e+02   4.0748000e-02
   8.4200000e+02   3.9997000e-02
   8.3900000e+02   3.9092000e-02
   8.3600000e+02   3.7879000e-02
   8.3300000e+02   3.6055000e-02
   8.3100000e+02   3.2966000e-02
   8.2800000e+02   2.9139000e-02
   8.2500000e+02   2.6199000e-02
   8.2200000e+02   2.4460000e-02
   8.2000000e+02   2.3294000e-02
   8.1700000e+02   2.2764000e-02
   8.1400000e+02   2.2230000e-02
   8.1200000e+02   2.1976000e-02
   8.0900000e+02   2.1902000e-02
   8.0700000e+02   2.1956000e-02
   8.0400000e+02   2.2038000e-02
   8.0100000e+02   2.2434000e-02
   7.9900000e+02   2.2805000e-02
   7.9600000e+02   2.3365000e-02
   7.9400000e+02   2.3740000e-02
   7.9100000e+02   2.4465000e-02
   7.8900000e+02   2.5005000e-02
   7.8600000e+02   2.5580000e-02
   7.8400000e+02   2.6127000e-02
   7.8100000e+02   2.6549000e-02
   7.7900000e+02   2.7101000e-02
   7.7600000e+02   2.7529000e-02
   7.7400000e+02   2.7763000e-02
   7.7200000e+02   2.7998000e-02
   7.6900000e+02   2.8270000e-02
   7.6700000e+02   2.8344000e-02
   7.6500000e+02   2.8582000e-02
   7.6200000e+02   2.8695000e-02
   7.6000000e+02   2.8605000e-02
   7.5800000e+02   2.8681000e-02
   7.5500000e+02   2.8794000e-02
   7.5300000e+02   2.8704000e-02
   7.5100000e+02   2.8613000e-02
   7.4800000e+02   2.8560000e-02
   7.4600000e+02   2.8468000e-02
   7.4400000e+02   2.8376000e-02
   7.4200000e+02   2.8113000e-02
   7.4000000e+02   2.7680000e-02
   7.3800000e+02   2.6733000e-02
   7.3500000e+02   2.5304000e-02
   7.3300000e+02   2.3144000e-02
   7.3100000e+02   2.0801000e-02
   7.2900000e+02   1.8444000e-02
   7.2700000e+02   1.6646000e-02
   7.2500000e+02   1.5253000e-02
   7.2300000e+02   1.4061000e-02
   7.2100000e+02   1.2950000e-02
   7.1800000e+02   1.1901000e-02
   7.1600000e+02   1.0952000e-02
   7.1400000e+02   1.0067000e-02
   7.1200000e+02   9.3010000e-03
   7.1000000e+02   8.6550000e-03
   7.0800000e+02   8.1470000e-03
   7.0600000e+02   7.7250000e-03
   7.0400000e+02   7.3540000e-03
   7.0200000e+02   6.9810000e-03
   7.0000000e+02   6.6780000e-03
   6.9800000e+02   6.3910000e-03
   6.9600000e+02   6.1390000e-03
   6.9400000e+02   5.9210000e-03
   6.9200000e+02   5.7200000e-03
   6.9000000e+02   5.5360000e-03
   6.8900000e+02   5.3620000e-03
   6.8700000e+02   5.2500000e-03
   6.8500000e+02   5.1730000e-03
   6.8300000e+02   5.0780000e-03
   6.8100000e+02   5.0380000e-03
   6.7900000e+02   4.9780000e-03
   6.7700000e+02   4.9000000e-03
   6.7600000e+02   4.8520000e-03
   6.7400000e+02   4.8100000e-03
   6.7200000e+02   4.7680000e-03
   6.7000000e+02   4.7450000e-03
   6.6800000e+02   4.6650000e-03
   6.6700000e+02   4.6540000e-03
